name,created_at,forks,topics,categories
first-contributions,2016-09-20T14:35:09Z,72974,"['beginner', 'beginner-friendly', 'community', 'contribution', 'contributions', 'contributions-welcome', 'good-first-issue', 'help-wanted', 'open-source', 'tutorial', 'tutorials']",['Beginner']
build-your-own-x,2018-05-09T12:03:18Z,24152,"['awesome-list', 'free', 'programming', 'tutorial-code', 'tutorial-exercises', 'tutorials']",['Beginner']
project-based-learning,2017-04-12T05:07:46Z,21588,"['beginner-project', 'cpp', 'golang', 'javascript', 'project', 'python', 'tutorial', 'webdevelopment']","['Beginner', 'Web Programming']"
TensorFlow-Examples,2015-11-11T14:21:19Z,15006,"['deep-learning', 'examples', 'machine-learning', 'python', 'tensorflow', 'tutorial']","['Machine Learning', 'Beginner']"
opensource.guide,2016-06-15T12:03:11Z,14169,"['best-practices', 'documentation', 'hacktoberfest', 'open-source', 'oss', 'tutorial']",['Beginner']
Web-Dev-For-Beginners,2020-11-10T02:44:00Z,12145,"['css', 'curriculum', 'education', 'html', 'javascript', 'learning', 'tutorials']","['Beginner', 'Web Programming']"
100-Days-Of-ML-Code,2018-07-05T09:11:43Z,10253,"['100-days-of-code-log', '100daysofcode', 'deep-learning', 'implementation', 'infographics', 'linear-algebra', 'linear-regression', 'logistic-regression', 'machine-learning', 'machine-learning-algorithms', 'naive-bayes-classifier', 'python', 'scikit-learn', 'siraj-raval', 'siraj-raval-challenge', 'support-vector-machines', 'svm', 'tutorial']","['Machine Learning', 'Beginner']"
rustlings,2015-09-15T02:25:18Z,9206,"['beginner-friendly', 'rust', 'rustlings']",['Beginner']
the-way-to-go_ZH_CN,2013-03-24T17:18:38Z,8587,"['book', 'go', 'translation', 'tutorial']",['Beginner']
pandas_exercises,2016-07-12T22:46:43Z,7876,"['data-analysis', 'exercise', 'pandas', 'practice', 'tutorial']",['Beginner']
IntelliJ-IDEA-Tutorial,2015-08-17T15:25:52Z,7319,"['android-studio', 'clion', 'datagrip', 'gogland', 'intellij', 'intellij-idea', 'java', 'jetbrains', 'phpstorm', 'pycharm', 'rubymine', 'tutorial', 'webstorm']",['Beginner']
awesome-react,2014-08-06T05:31:44Z,7030,"['awesome', 'awesome-list', 'javascript', 'react', 'react-apps', 'react-native', 'react-tutorial', 'samples', 'tutorial', 'typescript']","['Beginner', 'Web Programming']"
android_guides,2013-06-19T10:24:45Z,6378,"['android', 'codepath', 'development', 'guides', 'tutorials']",['Beginner']
100-Days-Of-ML-Code,2018-08-05T13:32:48Z,5422,"['100-days-of-ml-code', 'chinese-simplified', 'deep-learning', 'infographics', 'jupyter-notebook', 'keras', 'machine-learning', 'python', 'supervised-learning', 'tensorflow', 'tutorial', 'unsupervised-learning']","['Machine Learning', 'Beginner']"
gold-miner,2015-11-04T03:29:13Z,5008,"['ai', 'android', 'frontend', 'ios', 'javascript', 'react', 'swift', 'tensorflow', 'translation', 'tutorials']","['Machine Learning', 'Beginner', 'Web Programming']"
Reinforcement-learning-with-tensorflow,2017-05-06T03:01:31Z,4991,"['a3c', 'actor-critic', 'asynchronous-advantage-actor-critic', 'ddpg', 'deep-deterministic-policy-gradient', 'deep-q-network', 'double-dqn', 'dqn', 'dueling-dqn', 'machine-learning', 'policy-gradient', 'ppo', 'prioritized-replay', 'proximal-policy-optimization', 'q-learning', 'reinforcement-learning', 'sarsa', 'sarsa-lambda', 'tensorflow-tutorials', 'tutorial']","['Machine Learning', 'Beginner']"
show-me-the-code,2014-09-04T07:02:34Z,4731,"['python', 'python-web', 'tutorial']",['Beginner']
N-blog,2013-05-27T06:46:58Z,4664,"['blog', 'course', 'express', 'javascript', 'mongodb', 'mongolass', 'nodejs', 'tutorial']","['Beginner', 'Web Programming']"
Interview_Question_for_Beginner,2017-06-04T05:09:09Z,4573,"['awesome', 'beginner', 'development', 'tech-interviews']",['Beginner']
stanford-tensorflow-tutorials,2016-11-05T18:21:51Z,4332,"['chatbot', 'course-materials', 'deep-learning', 'machine-learning', 'natural-language-processing', 'nlp', 'python', 'stanford', 'tensorflow', 'tutorial']","['Machine Learning', 'Beginner']"
TensorFlow-Tutorials,2016-06-26T14:43:21Z,4211,"['deep-learning', 'machine-learning', 'neural-network', 'python-notebook', 'reinforcement-learning', 'tensorflow', 'tutorial', 'youtube']","['Machine Learning', 'Beginner']"
java8-tutorial,2014-03-16T17:25:43Z,4022,"['guide', 'java', 'java-8', 'lambda-expressions', 'learning', 'parallel-streams', 'stream', 'tutorial']",['Beginner']
English-level-up-tips,2017-05-30T07:18:52Z,3951,"['chinese', 'english-learning', 'tutorial']",['Beginner']
nlp-tutorial,2019-01-09T11:44:20Z,3870,"['attention', 'bert', 'natural-language-processing', 'nlp', 'paper', 'pytorch', 'tensorflow', 'transformer', 'tutorial']","['Machine Learning', 'Beginner']"
sp-dev-fx-webparts,2016-08-30T17:21:43Z,3801,"['angularjs', 'hacktoberfest', 'knockoutjs', 'pnp-js-core', 'react', 'sharepoint-framework', 'sharepoint-workbench', 'tutorial']",['Beginner']
en.javascript.info,2017-06-03T14:27:57Z,3779,"['english', 'javascript', 'tutorial']","['Beginner', 'Web Programming']"
oppia,2015-08-14T00:16:14Z,3739,"['angular', 'angularjs', 'appengine', 'education', 'hacktoberfest', 'interactive', 'javascript', 'learning', 'nonprofit', 'python', 'teaching', 'tutor', 'tutorials', 'web']","['Beginner', 'Web Programming']"
rabbitmq-tutorials,2010-09-21T11:41:26Z,3571,"['rabbitmq', 'tutorials']",['Beginner']
git-recipes,2015-10-10T06:53:17Z,3494,"['git', 'git-recipes', 'tutorials']",['Beginner']
TeachYourselfCS-CN,2019-10-04T08:53:38Z,3233,"['chinese-translation', 'teachyourselfcs', 'translation', 'tutorial']",['Beginner']
eattheblocks,2017-11-01T07:43:11Z,3217,"['blockchain', 'ethereum', 'screencast-series', 'solidity', 'truffle', 'truffle-framework', 'tutorial', 'web3']",['Beginner']
PyTorch-Tutorial,2017-05-05T15:12:04Z,3120,"['autoencoder', 'batch', 'batch-normalization', 'classification', 'cnn', 'dqn', 'dropout', 'gan', 'generative-adversarial-network', 'machine-learning', 'neural-network', 'python', 'pytorch', 'pytorch-tutorial', 'pytorch-tutorials', 'regression', 'reinforcement-learning', 'rnn', 'tutorial']","['Machine Learning', 'Beginner']"
GitHubDaily,2018-12-30T13:56:58Z,3089,"['ai', 'algorithms-and-data-structures', 'backend', 'developer-tools', 'development', 'frontend', 'github', 'java', 'javascript', 'kubernetes', 'linux', 'markdown', 'open-source', 'python', 'tutorials', 'web']","['Beginner', 'Web Programming']"
recommenders,2018-09-19T10:06:07Z,2980,"['artificial-intelligence', 'azure', 'data-science', 'deep-learning', 'jupyter-notebook', 'kubernetes', 'machine-learning', 'microsoft', 'operationalization', 'python', 'ranking', 'rating', 'recommendation', 'recommendation-algorithm', 'recommendation-engine', 'recommendation-system', 'recommender', 'tutorial']","['Machine Learning', 'Beginner']"
Contribute-To-This-Project,2017-12-08T20:57:55Z,2880,"['beginners', 'community', 'contributions', 'contributions-welcome', 'github', 'github-desktop', 'good-first-issue', 'help-wanted', 'html', 'javascript', 'open-source', 'tutorial']","['Beginner', 'Web Programming']"
Awesome-pytorch-list,2017-03-01T16:58:16Z,2804,"['awesome', 'awesome-list', 'computer-vision', 'cv', 'data-science', 'deep-learning', 'facebook', 'machine-learning', 'natural-language-processing', 'neural-network', 'nlp', 'nlp-library', 'papers', 'probabilistic-programming', 'python', 'pytorch', 'pytorch-model', 'pytorch-tutorials', 'tutorials', 'utility-library']","['Machine Learning', 'Beginner']"
Surviving-with-android,2012-10-06T20:24:28Z,2751,"['android', 'android-things', 'internet-of-things', 'iot', 'java', 'open-source', 'tutorial']","['Internet-of-Things', 'Beginner']"
GitStart,2017-09-28T08:50:09Z,2711,"['awesome', 'awesome-list', 'beginner-friendly', 'beginners', 'digitalocean', 'first-timers-only', 'git', 'github', 'hacktoberfest', 'hacktoberfest-2019', 'hacktoberfest-starter', 'hacktoberfest18', 'hacktoberfest19', 'hacktoberfest2018', 'hacktoberfest2019', 'help-wanted', 'opensource', 'pull-request', 'pullrequest']",['Beginner']
DeepLearningZeroToAll,2017-02-20T06:26:23Z,2690,"['keras', 'lab', 'mxnet', 'python', 'pytorch', 'tensorflow', 'tutorial']","['Machine Learning', 'Beginner']"
aws-serverless-workshops,2016-11-22T22:47:29Z,2589,"['aws', 'lambda', 'serverless', 'tutorial']",['Beginner']
scikit-learn-videos,2015-04-06T02:08:42Z,2538,"['data-science', 'jupyter-notebook', 'machine-learning', 'python', 'scikit-learn', 'tutorial']","['Machine Learning', 'Beginner']"
leedl-tutorial,2019-07-02T01:05:11Z,2502,"['bert', 'chatgpt', 'cnn', 'deep-learning', 'diffusion', 'gan', 'leedl-tutorial', 'machine-learning', 'network-compression', 'pruning', 'reinforcement-learning', 'rnn', 'self-attention', 'transfer-learning', 'transformer', 'tutorial']","['Machine Learning', 'Beginner']"
learngo,2018-10-15T11:12:00Z,2483,"['best-practices', 'course', 'design-patterns', 'exercise', 'exercises', 'go', 'golang', 'golang-examples', 'idiomatic-go', 'idioms', 'learn-go', 'learn-to-code', 'learning-by-doing', 'learning-go', 'learning-golang', 'patterns', 'patterns-go', 'project', 'quizzes', 'tutorial']",['Beginner']
cmake-examples,2015-11-21T11:03:11Z,2472,"['boost', 'catch', 'clang', 'clang-format', 'cmake', 'cpack', 'cpp', 'cppcheck', 'ctest', 'google-test', 'static-analysis', 'tutorial', 'unit-testing']",['Beginner']
Welcome-to-Open-Source,2023-02-19T06:31:20Z,2465,"['ali-solanki', 'alisolanki', 'beginner-friendly', 'contributions-welcome', 'documentation', 'first-issue', 'hactoberfest', 'no-code', 'open-source']",['Beginner']
BLCMods,2017-03-12T04:21:03Z,2202,"['borderlands-series', 'community-mods', 'mod', 'tutorial', 'wiki']",['Beginner']
docker-curriculum,2015-12-03T03:28:26Z,2098,"['aws', 'cloud-computing', 'containers', 'docker', 'microservices', 'tutorials']",['Beginner']
learn-terraform-github-actions,2020-08-25T06:03:19Z,2098,"['automation', 'github-actions', 'hashicorp', 'terraform', 'tutorial']",['Beginner']
js-stack-from-scratch,2016-10-02T13:31:23Z,1997,"['bootstrap', 'eslint', 'flow', 'heroku', 'immutablejs', 'javascript', 'jest', 'jss', 'nodemon', 'pm2', 'react', 'react-router', 'redux', 'server-side-rendering', 'sinon', 'socket-io', 'stack', 'tutorial', 'webpack', 'yarn']","['Beginner', 'Web Programming']"
pandas-videos,2016-03-31T17:39:41Z,1929,"['data-analysis', 'data-cleaning', 'data-science', 'jupyter-notebook', 'pandas', 'python', 'tutorial']",['Beginner']
Tensorflow-Tutorial,2017-05-10T11:02:32Z,1887,"['autoencoder', 'classification', 'cnn', 'deep-q-network', 'dqn', 'dropout', 'gan', 'generative-adversarial-network', 'machine-learning', 'neural-network', 'regression', 'rnn', 'tensorflow', 'tensorflow-tutorials', 'tutorial']","['Machine Learning', 'Beginner']"
tinyrenderer,2015-01-17T16:46:01Z,1882,"['3d', '3d-graphics', 'c-plus-plus', 'computer-graphics', 'cpp', 'engine', 'fun', 'graphics', 'images', 'learning', 'opengl', 'picture', 'pixels', 'rasterizer', 'rendering', 'rendering-engine', 'rendering-pipeline', 'shaders', 'software-rendering', 'tutorial']",['Beginner']
mostly-adequate-guide,2015-05-06T01:44:15Z,1845,"['functional-programming', 'javascript', 'reactive-programming', 'tutorial']","['Beginner', 'Web Programming']"
plots2,2013-06-05T14:36:10Z,1840,"['beginner-friendly', 'collaboration', 'environment', 'first-timers', 'hacktoberfest', 'help-wanted', 'javascript', 'publiclab', 'rails', 'ruby', 'wiki']","['Beginner', 'Web Programming']"
pythoncode-tutorials,2019-07-29T12:35:40Z,1840,"['computer-vision', 'ethical-hacking', 'face-detection', 'machine-learning', 'natural-language-processing', 'network-analysis', 'network-programming', 'network-security', 'programming-tutorial', 'python', 'python-tutorials', 'python3', 'scapy', 'scapy-tutorials', 'socket-programming', 'text-classification', 'tutorials', 'web-scraping']","['Machine Learning', 'Beginner']"
PySimpleGUI,2018-07-11T18:28:58Z,1823,"['beginner-friendly', 'datavisualization', 'games', 'gui', 'gui-framework', 'gui-programming', 'gui-window', 'pyside2', 'pysimplegui', 'python', 'python-gui', 'qt', 'qt-gui', 'remi', 'systemtray', 'tkinter', 'tkinter-gui', 'tkinter-python', 'user-interface', 'wxpython']",['Beginner']
Hello-World,2018-10-02T08:44:54Z,1790,"['beginner-friendly', 'c', 'cpp', 'first-timers', 'hacktoberfest', 'hacktoberfest2018', 'hactoberfest', 'help-wanted', 'java', 'javascript', 'open-source', 'python', 'ruby']","['Beginner', 'Web Programming']"
flutter-tutorials,2019-03-07T03:45:26Z,1761,"['dart', 'flutter', 'flutter-examples', 'tutorial-code', 'tutorials']",['Beginner']
