name,created_at,forks,topics,categories
tensorflow,2015-11-07T01:19:20Z,73822,"['deep-learning', 'deep-neural-networks', 'distributed', 'machine-learning', 'ml', 'neural-network', 'python', 'tensorflow']",['Machine Learning']
opencv,2012-07-19T09:40:17Z,55604,"['c-plus-plus', 'computer-vision', 'deep-learning', 'image-processing', 'opencv']",['Machine Learning']
scikit-learn,2010-08-17T09:43:38Z,24965,"['data-analysis', 'data-science', 'machine-learning', 'python', 'statistics']",['Machine Learning']
stable-diffusion-webui,2022-08-22T14:05:26Z,24898,"['ai', 'ai-art', 'deep-learning', 'diffusion', 'gradio', 'image-generation', 'image2image', 'img2img', 'pytorch', 'stable-diffusion', 'text2image', 'torch', 'txt2img', 'unstable', 'upscaling', 'web']",['Machine Learning']
transformers,2018-10-29T13:56:00Z,24584,"['bert', 'deep-learning', 'flax', 'hacktoberfest', 'jax', 'language-model', 'language-models', 'machine-learning', 'model-hub', 'natural-language-processing', 'nlp', 'nlp-library', 'pretrained-models', 'python', 'pytorch', 'pytorch-transformers', 'seq2seq', 'speech-recognition', 'tensorflow', 'transformer']",['Machine Learning']
pytorch,2016-08-13T05:26:41Z,20905,"['autograd', 'deep-learning', 'gpu', 'machine-learning', 'neural-network', 'numpy', 'python', 'tensor']",['Machine Learning']
keras,2015-03-28T00:35:42Z,19315,"['data-science', 'deep-learning', 'jax', 'machine-learning', 'neural-networks', 'python', 'pytorch', 'tensorflow']",['Machine Learning']
caffe,2013-09-12T18:39:48Z,18743,"['deep-learning', 'machine-learning', 'vision']",['Machine Learning']
yolov5,2020-05-18T03:45:11Z,15479,"['coreml', 'deep-learning', 'ios', 'machine-learning', 'ml', 'object-detection', 'onnx', 'pytorch', 'tflite', 'ultralytics', 'yolo', 'yolov3', 'yolov5']",['Machine Learning']
TensorFlow-Examples,2015-11-11T14:21:19Z,15006,"['deep-learning', 'examples', 'machine-learning', 'python', 'tensorflow', 'tutorial']","['Machine Learning', 'Beginner']"
airflow,2015-04-13T18:04:58Z,13493,"['airflow', 'apache', 'apache-airflow', 'automation', 'dag', 'data-engineering', 'data-integration', 'data-orchestrator', 'data-pipelines', 'data-science', 'elt', 'etl', 'machine-learning', 'mlops', 'orchestration', 'python', 'scheduler', 'workflow', 'workflow-engine', 'workflow-orchestration']",['Machine Learning']
ML-For-Beginners,2021-03-03T01:34:05Z,13477,"['data-science', 'education', 'machine-learning', 'machine-learning-algorithms', 'machinelearning', 'machinelearning-python', 'ml', 'python', 'r', 'scikit-learn', 'scikit-learn-python']",['Machine Learning']
